left,right,target
positive/68ee3771-3270-4936-82c3-81f417669f5c/8359b094-a6e8-4d81-89a2-cfa1da40dfd4.jpg,positive/68ee3771-3270-4936-82c3-81f417669f5c/23c8a0d2-0cb9-47ad-b791-1ece06092940.jpg,1
positive/87ee3a6d-c792-4c75-9d63-989817728611/b7f3a0b6-4d43-4822-8624-3619459d4f50.jpg,positive/87ee3a6d-c792-4c75-9d63-989817728611/db36bd6f-a5ad-46f4-be1c-2434d0814ee8.jpg,1
positive/f4626819-a28f-4abd-acaf-89e2c0d31e28/adda477a-c100-41f4-9b07-8808849838b7.jpg,positive/f4626819-a28f-4abd-acaf-89e2c0d31e28/d8e9c2eb-80a8-4138-86d9-d9984e4bc6a5.jpg,1
positive/bf7ccebf-bb71-4185-9a15-c908d7a06967/adeac960-051a-464b-97e5-553894b9a49f.jpg,positive/bf7ccebf-bb71-4185-9a15-c908d7a06967/94405338-2e81-40c5-aac3-a55b3e24e4b5.jpg,1
positive/80b2181f-ea42-4fe8-a1d9-ba02ce0ce09e/acb73971-939e-4163-a783-58f25bf50797.jpg,positive/80b2181f-ea42-4fe8-a1d9-ba02ce0ce09e/3af7f457-9298-4119-ae3d-3a098f0a0cbd.jpg,1
positive/1f4aaac6-b6e3-4bb3-96b8-65a859c1b203/82695908-ad3f-4f01-b099-7c77b44b591a.jpg,positive/1f4aaac6-b6e3-4bb3-96b8-65a859c1b203/d2b8ad14-fc2d-4976-8fdc-c44a20b39c3f.jpg,1
positive/8d933a57-1048-4682-9199-29905c6d83e8/f8f1a708-d92d-4374-9d1b-961b0823461d.jpg,positive/8d933a57-1048-4682-9199-29905c6d83e8/402a11c8-fb80-4cd8-ba79-f6bb4f384560.jpg,1
positive/e1e6237f-ac70-4892-b556-6330a2805734/1951a052-7f4b-464f-848b-5ce1e2401a77.jpg,positive/e1e6237f-ac70-4892-b556-6330a2805734/47162d98-97c8-4017-821a-97abdfddf0ec.jpg,1
positive/6de877cb-a851-4857-942b-d87ff9971291/130e5c3e-96fe-4d32-a622-93742b4994e5.jpg,positive/6de877cb-a851-4857-942b-d87ff9971291/1a207403-ea62-4403-906a-6ab6c6ca3b57.jpg,1
positive/bfc1e11b-ba85-46d2-8525-cf084d111378/cea725ba-3ff1-495a-84ed-790b629171d1.jpg,positive/bfc1e11b-ba85-46d2-8525-cf084d111378/893a523d-412a-4077-b9aa-ff4d3ab98ebf.jpg,1
